prompt,answer
Which of the following best describes the effect of the Monroe Doctrine on world politics?,It set the tone for U.S. foreign policy in the future.
The American Colonization Society was founded in the early 1800s primarily to,help free African Americans resettle in northwestern Africa 
Which of the following was founded in the aftermath of the Haymarket Riot of 1886?,American Federation of Labor 
Which of the following factors contributed most to California's decision to apply for statehood in 1850?,Increase in population as a result of the Gold Rush 
Many teenagers in the United States in the 1960s demanded that the voting age be lowered to 18 from 21 primarily because,"they felt that since they were old enough to fight and die in military service, they were old enough to vote"
President Andrew Johnson's Reconstruction pro grams included all the following EXCEPT:,full civil rights for all African Americans
The U.S. government encouraged the growth of settlement on the Great Plains in the mid-nineteenth century primarily by passing the,Homestead Act 
"A ""Horatio Alger"" hero is a fictional character who symbolized which of the following to readers of the 1860s and 1870s?",The ability to get rich by working one's way up from poor beginnings 
Education reform during the late 1800s had all the following effects EXCEPT:,integrating the public schools by race 
The American Indian movement of the 1970s accomplished which of the following?,Recovered thousands of acres of ancestral tribal lands in Maine and New Mexico 
All the following types of music were fused together to become jazz EXCEPT:,hymns 
During the late 1800s newly arrived immigrants supported political machines primarily because,political machines offered them jobs and essential city services in exchange for their votes 
The first shiploads of British colonists who settled on the Atlantic coast faced all the following problems EXCEPT:,implacable hostility of the Native Americans 
The British were the first Europeans to settle all the following colonies EXCEPT:,New York 
The colonists took all the following actions in opposition to the Stamp Act EXCEPT:,sending the Olive Branch Petition to Parliament
Which one of the following men spearheaded the religious revival known as the Great Awakening of the mid-1700s?,Jonathan Edwards 
Congress passed the National Recovery Act in 1933 to do all the following EXCEPT:,enforce antitrust laws
"Who pays the big election expenses of your con gressman ?... Do you imagine those who foot those huge bills are fools? Don't you know that they make sure of getting their money back, with interest? The speaker of the above quotation most likely supported which of the following?",Progressivism 
All the following contributed to the decline of the Colored Farmers' Alliance EXCEPT:,expansion of the national money supply
All the following photographers created important visual records of aspects of U.S. history EXCEPT:,Ansel Adams
The Articles of Confederation did not provide a good basis for government primarily because,they gave the federal government no power to raise money from the states 
The Populist Party of the 1890s supported all the following EXCEPT:,maintaining the gold standard 
"Which of the following novelists wrote mainly about the social class whose lifestyle Thorstein Veblen described in 1899 as the embodiment of ""conspicu ous consumption""?",Edith Wharton 
The Armory Show of 1913 was significant primarily because,it was the first major exhibition of modern art in the United States 
President Lyndon B. Johnson became the national leader most responsible for ending racial segregation by taking all the following actions EXCEPT:,integrating the armed forces 
The French and Indian War resulted in all the following EXCEPT:,Colonial legislatures voted to approve Ben Franklin's Albany Plan of Union.
Which of the following is a classic American novel of adolescent rebellion?,The Catcher in the Ryeby J. D. Salinger 
All the following combined to help form the Free Soil Party in 1848 EXCEPT:,Southern conservatives
"Which of the following resulted when the workers at the Carnegie Steel Company of Homestead, PA, went on strike in 1892?",Management locked the workers out of the plant.
"Rather than trying to climb the economic ladder, people are becoming more concerned with relation ships and family and community involvement. The speaker of the above quotation is most likely commenting on the passage into law of which of the following?",Family and Medical Leave Act 
Mr. Rockefeller has systematically played with loaded dice. . . . Business played in this way loses all its sportsmanlike qualities. It is fit only for tricksters. The above statement most likely was made by which of the following muckraking journalists in which exposé?,"Ida M. Tarbell,  History of the Standard Oil Company "
Which of the following African-American leaders wroteUp From Slavery?,Booker T. Washington 
Women who opposed passage of the Equal Rights Amendment did so primarily because,"they did not want to lose certain privileges, such as exemption from the military draft "
Which of the following granted all African-American men the right to vote?,The Fifteenth Amendment 
Which of the following administrations authorized continued financial aid to the Nicaraguan Contras in defiance of congressional laws against it?,Ronald Reagan 
The Northwest Ordinance of 1787 specified which of the following?,"When a section of the Northwest Territory had a large enough population, it could draft a constitution and apply for statehood."
Eleanor Roosevelt accomplished all the following EXCEPT:,founding the National Organization for Women
"In the aftermath of World War I, President Woodrow Wilson",fought for the establishment of the League of Nations 
Hillary Rodham Clinton is the first first lady to do which of the following?,Hold elected political office 
The Black Codes of the late 1860s had which of the following purposes?,To restore the status quo of Southern society before the Civil War 
During the mid-1800s farmers faced all the following problems EXCEPT:,The Grange and Alliance movements prevented them from organizing.
Strikes led by members of the International Ladies' Garment Workers' Union had all the following effects EXCEPT:,Employers agreed to a closed shop. 
Theodore Roosevelt began his presidency with all the following goals EXCEPT:,overseeing ratification of the Nineteenth Amendment on woman suffrage 
Which of the following does NOT characterize the Clinton administrations of the 1990s?,Strained relations with foreign allies
American Tories remained loyal to Great Britain during the Revolutionary War for all the following reasons EXCEPT:,belief that the various acts of Parliament were neither onerous nor oppressive
All the following factors led to the decline and fall of the Industrial Workers of the World EXCEPT:,refusal of employers to accept an open shop 
"Europeans explored and colonized the ""New World"" for all the following motives EXCEPT:",assimilation into New World cultures
Which of the following was NOT a prominent protest group during the civil rights era?,Fair Employment Practices Committee 
American pop music of the 1960s was characterized by all the following EXCEPT:,a rise in the popularity of big bands 
"We are people of this generation, bred in at least modest comfort, housed now in universities, looking uncomfortably to the world we inherit. The author of the above quotation most likely would have supported which of the following movements?",Counterculture 
The Seneca Falls Convention of 1848 was called primarily to,declare that women and men should have equal rights 
All the following authors were considered members of the nineteenth-century Transcendentalist commu nity EXCEPT:,Emily Dickinson
Henry Clay's American System called for all the following EXCEPT:,a free-trade agreement with Great Britain
Which one of the following men did NOT play a key role in the U.S. military during the Revolutionary War?,Samuel Adams 
The Japanese Internment of World War II was focused primarily on Japanese-Americans who resided in the following state:,California 
Demobilization after World War I had all the follow ing effects on the economy EXCEPT:,Employment rates rose as veterans returned to the workforce.
During the 1920s African Americans migrated to the North primarily to,escape violence and oppression 
"This bill will destroy our common life and will rob us of everything which we hold dear-our lands, our customs, our traditions. The speaker of the above quotation most likely was referring to which of the following?",The Bursum Bill 
All the following were Union generals during the Civil War EXCEPT:,"Thomas ""Stonewall"" Jackson "
The GI Bill of Rights gave millions of veterans the opportunity to,get a college education 
All the following were parts of the Anaconda Plan in the Civil War EXCEPT:,a siege of Richmond by federal troops 
"Theodore Roosevelt's ""Square Deal"" called for all the following EXCEPT:",enacting cuts in personal income taxes 
Which of the following novels is a literary icon of the Jazz Age?,The Great Gatsbyby F. Scott Fitzgerald 
"In Powell v. Alabama, the Supreme Court revoked the death sentences of the ""Scottsboro boys"" on the grounds that",the defendants had been denied the right to due process 
"For what did you throw off the yoke of Britain and call yourselves independent? Was it from a disposi tion fond of change, or to procure new masters ?... This new form of national government . . . will be dangerous to your liberty and happiness. The speaker of the above quotation was most likely a member of which group?",Antifederalists 
All the following were New Deal programs EXCEPT:,Reconstruction Finance Corporation 
Which of the following was a leader of Sioux resist ance in the 1870s?,Sitting Bull 
"The eastern half of which present-day state was called ""Indian Territory"" until 1907?",Oklahoma 
Nativists took all the following steps to protest immigration EXCEPT:,lynching immigrants and blaming African Americans for the crimes 
"Before 1800, most immigrants to the United States were",British 
The United States acquired the last of the territory that would make up the contiguous United States during which decade?,1850s 
"Between 1830 and 1860, the majority of European immigrants to the United States were from",Ireland and Germany 
"Which section of Article VI of the Constitution states that when federal and state laws come into conflict with each other, ultimate authority is given to federal laws?",Supremacy clause 
The Indian Removal Act of 1830 stated that,Native American tribes living east of the Mississippi River would be relocated 
"William Jennings Bryan's ""Cross of Gold"" speech at the Democratic Convention of 1896 proposed which of the following?",That silver be coined to inflate the U.S. currency 
Cesar Chavez became prominent in the 1960s as,the leader of the United Farm Workers 
The first President of the Independent Republic of Texas was,Sam Houston 
All the following innovations were a direct result of the growth of U.S. cities from 1865 to 1900 EXCEPT:,the automobile 
"One of the best ways to cope with (fear), is to turn it around and put it out to others . . . if you are afraid of the dark, you put the audience in a dark theater. I had a great fear of the ocean. This quotation most likely describes which of the following blockbuster American films?",Jaws 
Which of the following made New York the first state to grant women the right to own property?,"The Married Women's Property Act, 1848 "
Which of the following helped make the Second Great Awakening a success?,"Circuit riders, or itinerant ministers"
Which of the following is a nickname for the gener ation born between 1945 and 1965?,The baby boom generation 
"Which of the following is a broad program created by Martin Luther King, Jr., to confront the issues of U.S. economic inequalilty and poverty regardless of race.",The Poor People's Campaign 
Which of the 13 British colonies was founded on the southern frontier of British North America to provide a fresh start for debtors?,Georgia 
Pickett's Charge became the turning point for the Union against the Confederacy in which of the following Civil War battles?,Gettysburg 
During the 1860s and 1870s federal troops repeat edly clashed with Native Americans in which of the following regions?,Great Plains
Which of the following proposed a 1930s relief program in which money would be taken from the wealthy and given to the poor?,Huey Long 
Mary Boykin Chesnut is best known for which of the following?,Writing a diary that documents home life on the plantation during the Civil War 
Which group opposed ratification of the Constitution because its members feared a powerful national government?,Antifederalists
"Which of the following leaders did NOT sign the Treaty of Versailles, ending World War I?",Henry Cabot Lodge 
The active colonial protest group called Sons of Lib erty first organized in which of the following cities?,Boston 
Powers shared by the federal and state governments are called,concurrent powers 
The first election in which the Twenty-Sixth Amend ment (allowing 18-year olds to vote) was in effect was held in,1972
"The term ""planned obsolescence"" refers to which of the following?",The business practice of manufacturing products specifically designed to go out of style and be replaced by new models 
The skyscraper boom in U.S. cities was facilitated by Elisha Otis's development of,the elevator 
Which of the following Eastern tribes was NOT a member of the Iroquois League?,Delaware 
"Which prominent U.S. inventor was known as ""the Wizard of Menlo Park""?",Thomas Edison
"All the following statements support the theory that the West was developed by big business, big government, and technology EXCEPT:",Farmers had no national association to which they could apply for help.
"The phrase ""Great White Hope"" refers to which of the following?","A white boxer good enough to defeat Jack Johnson, world heavyweight champion in 1908 "
All the following factors combined to cause the United States to declare war on Great Britain in 1812 EXCEPT:,"U.S. purchase of New France, later called the Louisiana Territory"
In 1837 Horace Mann worked for all the following publicschool reforms in Massachusetts EXCEPT:,opening the nation's first public high schools 
Some historians date the start of the Civil War to April 1861 when,"Confederate forces fired on Fort Sumter, South Carolina "
The primary cause of the market revolution of the early 1800s was,the building of national roads and canals 
The Voting Rights Act of 1975 stated which of the following?,Voting materials must be made available in a variety of languages.
"The party reached out mostly to men, to young, black urban men who were on the streets, who knew that there were no options somewhere in their lives. The speaker of the above quotation most likely is referring to which of the following?",The Black Panther Party 
Which of the following was NOT a U.S. victory in the Pacific in World War II?,The Battle of the Bulge 
Congress passed the War Powers Act primarily because,Presidents Johnson and Nixon had usurped congressional authority in making war on Vietnam 
The U.S. Department of Agriculture was created primarily to assist which of the following?,struggling farmers on the Great Plains 
"The Atlantic Charter, signed by the United States and Great Britain in 1941, stated all the following EXCEPT:",Germany would be split into two nations at the end of the war.
I didn't want to believe it at first-people protest ing against us when we were putting our lives on the line for our country. The speaker of the above quotation is most likely a veteran of the,Vietnam War 
All the following are major photojournalists of the Great Depression EXCEPT:,Althea Gibson 
"The first U.S. school where women and African Americans, as well as men, could earn a four-year college degree was","Oberlin College, Oberlin, Ohio "
"Which of the following works of the American the ater explicitly compares McCarthyism to the Puritan ""witch hunts"" of Salem, Massachusetts?",The Crucibleby Arthur Miller 
"Samuel Colt's revolver, which was patented in the United States in 1836, revolutionized armed combat because of which of the following innovations?",It could be fired six times before being reloaded. 
"Which of the following machines, invented in 1793, was primarily responsible for an economic boom in the South?",Eli Whitney's cotton gin 
The Great Migration took place during which of the following decades?,1920s 
The growth of the railroad industry in the 1870s stimulated all the following EXCEPT:,development of the automobile
"James Madison, Alexander Hamilton, and John Jay were all",authors of the  Federalist Papers 
All the following characterize the Native American literary tradition EXCEPT:,tales based on the sacred books of Native American religion 
During the 1770s punitive Acts of Parliament were aimed primarily at Massachusetts because,Bostonians had provoked the Boston Massacre and had held the Boston Tea Party 
The main components of Henry Clay's American System were,"a national bank, a protective tariff, and a national transportation system "
All the following were possible motives for President Harry S. Truman using the atomic bomb against Japan EXCEPT:,Truman wanted to dismantle Japan's nuclear facilities. 
"As the automobile industry developed, it promoted the growth of all the following EXCEPT:",the telephone and telegraph industries 
"The nickname ""Star Wars"" refers to which of the following?",A missile-based defense system conceived by President Ronald Reagan 
Jazz is a blend of all the following musical influences EXCEPT:,hymns 
"It was a pleasure to live in those good old days, when a Federalist could knock a Republican down in the streets and not be questioned about it. The speaker of the above quotation most likely was referring to which decade in history?",1800s 
Which political party was formed during the 1890s to address the concerns of U.S. farmers?,Populist Party 
African Americans and women first served in combat duty in which of the following wars?,Revolutionary War 
Which of the following groups did NOT help form the Free-Soil Party in 1848?,Southern conservatives
Which of the following works would be most useful to a historian researching the living conditions of immigrants in New York City in the 1890s?,How the Other Half Livesby Jacob Riis 
Civil rights groups opposed the Vietnam War primarily because,money that had been earmarked for social programs was diverted to military use 
Accusations of improper conduct in the personal life of a candidate for high office are an example of which of the following?,Mudslinging 
"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally. The speaker of the above quotation is probably which of the following?",Abraham Lincoln 
The precedent for a free press in the United States was set by a trial involving which of the following?,John Peter Zenger 
"In 1837, Democratic Party members of Congress passed a ""gag rule"" forbidding any discussion or debate of",abolition 
Which of the following established a court system in the United States?,The Judiciary Act of 1789
"A man who is good enough to shed his blood for his country is good enough to be given a square deal afterwards. More than that no man is entitled to, and less than that no man shall have. Which of the following is most likely true of the speaker of the above quotation?",He believed in equal opportunities for people of all social classes. 
All of the following were proposals of Alexander Hamilton EXCEPT:,repeal of the whiskey tax 
Which of the following did President Abraham Lincoln quote from in his Gettysburg Address?,The Declaration of Independence 
The American Federation of Labor was founded in 1886 as a result of,the Haymarket Riot 
Which of the following spurred young people in the United States to push for the ratification of the Twenty-Sixth Amendment?,Opposition to the Vietnam War 
Which of the following was designed to enforce the provisions of the Eighteenth [Prohibition] Amendment?,Volstead Act 
A supporter of the Niagara Movement of 1905 prob ably would applaud all the following EXCEPT:,the African Colonization Society 
"To show their opposition to the Stamp Act, colonists took all the following actions EXCEPT:",calling up the members of the various colonial militias to active duty 
All the following are major African-American literary figures EXCEPT:,Harriet Beecher Stowe
The Erie Canal connected the Great Lakes with which of the following?,The Hudson River 
All the following contributed to President Franklin D. Roosevelt's election to an unprecedented third term EXCEPT:,his skill at conducting the war in Europe 
W. E. B. DuBois disagreed with Booker T. Wash ington's argument against African-American politi cal activism primarily because,DuBois felt that African Americans' political activism would force the white majority to correct racial injustice 
President Harry S. Truman ordered the dropping of atomic bombs on Japanese cities primarily because,he wanted to save U.S. lives by forcing the Japanese to surrender 
The resignations of which two men made Gerald R. Ford president of the United States?,Spiro Agnew and Richard Nixon 
Which of the following most accurately defines Transcendentalism?,The belief that people can rise above material things in life to reach a higher understanding 
"The Sixteenth Amendment, passed in 1913, did which of the following?",Enabled Congress to levy taxes on income 
The Lincoln-Douglas debates took place during,the Senate elections of 1858
The Wright Brothers developed an airplane using experience gained from,operating a bicycle shop and experimenting with small engines 
Which of the following describes one major effect of President Warren G. Harding's economic policies?,Increased profits for business owners 
Which of the following took its name from a British political party that opposed the power of the monarch?,The Whigs
The Native American literary tradition can be best described as which of the following?,Creation myths and legends 
Which of the following commanded the United States Expeditionary Forces during World War I?,John J. Pershing 
"The remains of one of the most sophisticated prehis toric native civilizations north of Mexico are pre served at Cahokia, Illinois. The people who lived at this site were called:",the Mound Builders 
". . . government of the people, by the people, for the people, shall not perish from the earth. This statement was first made in which of the following?",The Gettysburg Address
The total value of all goods and services produced in a nation during a given year is referred to as,the gross national product 
The Iran hostage crisis had an impact on which presidential election?,1980
Spirituals were of great importance to which of the following?,Slaves on plantations 
Which of the following best describes Andrew Carnegie's practice of acquiring companies that pro vided raw materials and services for his steel business?,Vertical integration 
The ability to get to the verge without getting into war is the necessary art. The speaker is describing which of the following?,Brinksmanship 
Which of the following was NOT an action author ized by the Federal Trade Commission (FTC) in 1914?,The levying of taxes on interstate commerce 
Which of the following constituted the most signifi cant international impact of the War of 1812?,It removed the British from the Northwest Territories
George Washington's first cabinet consisted of,"attorney and postmaster generals and secretaries of state, treasury, and war "
"Congressional Republicans challenged President Clinton's domestic agenda in 1994 with their own proposals, popularly known as",the Contract with America 
"The Zapruder film, which was shot with a hand-held camera in 1963, depicts which of the following?",The assassination of President John F. Kennedy 
All or parts of the following present-day states were part of the Mexican Cession EXCEPT:,Oklahoma
The first 10 constitutional amendments are known as,the Bill of Rights 
There never has yet existed a wealthy and a civi lized society in which one portion of the community did not . . . live on the labor of another. The speaker of the above quotation was defending which of the following?,The institution of slavery 
The two-party political system emerged in part because of which of the following?,Sectionalism 
Which one of the following people became the first female pilot to complete a solo transatlantic flight?,Amelia Earhart
The government's policy of allowing cattle ranchers to let their herds graze on public land was called,open range
Which of the following best describes the purpose of the Seneca Falls Convention of 1848?,To form a society to advance the rights of women 
The turning point of the Revolutionary War was a battle fought at,"Saratoga, New York "
Which of the following was a marketing innovation of General Motors in the 1920s to help consumers buy more expensive cars?,The installment plan
Which of the following was most likely NOT a goal of George W. Bush in creating the Department of Homeland Security?,Building impenetrable walls along the Mexican and Canadian borders 
Which faction formed in opposition to President Rutherford B. Hayes's support of civil-service reform?,Stalwarts
Uncle Tom's Cabin provoked strong reactions in the South because,it depicted slavery as wrong and slaveholders as corrupt 
Which of the following helped the Pilgrims survive their first year in Plymouth by showing them how to grow crops?,Squanto 
Which of the following geographical markings established the boundary between the United States and Spanish Florida in 1795?,The 31st parallel 
Which of the following most aptly describes Booker T. Washington's belief about the key to social and political equality for African Americans?,Economic independence through training and education 
During Prohibition people drank alcohol at places called,speakeasies 
"Which of the following congressional actions gave the president authority to take ""all necessary meas ures to repel any attack against forces of the United States""?",The Tonkin Gulf Resolution 
Sitting Bull was an important spiritual leader of the,Sioux 
Shays' Rebellion in 1786 is significant because it,raised doubts about the ability of a decentral ized government to deal with civil unrest 
All the following were major crops in the antebellum South EXCEPT:,maple syrup 
"Nearly 600,000 U.S. lives were claimed in 1918-1919 by",an epidemic of influenza 
"President Richard Nixon and Secretary of State Henry Kissinger shared a belief in ""realpolitik,"" which is best described as",a foreign policy guided by national interests rather than ideals
"Which of the following was the first major farmers' organization, founded in 1867?",The National Grange 
Which of the following was a severe low point for the Continental Army in the Revolutionary War?,The winter at Valley Forge 
Balboa's sighting of the Pacific Ocean and Magellan's voyage around the tip of South America motivated other European explorers to seek which of the following?,A Northwest Passage to the Pacific and Asia 
Which of the following five Republicans who ran for president in 1824 won the election?,John Quincy Adams of Massachusetts 
"During President Theodore Roosevelt's administra tion, the federal government first began making dam aged land productive again in a process called",reclamation 
Which of the following generals did President Harry S. Truman fire for interfering with peace negotia tions with Korea?,Douglas MacArthur 
A second Industrial Revolution in the late 1800s was generated by innovations in which industries?,Steel and oil refining 
The Twenty-Third Amendment gave residents of the District of Columbia,the right to vote in presidential elections 
The Fundamental Orders of Connecticut of 1639 can be described as which of the following?,The first written constitution in the colonies
Which of the following names the typical shelters built by the first white settlers on the Great Plains?,Sod houses 
Which of the following explains the original purpose of the Federal Deposit Insurance Corporation (FDIC)?,"To insure bank deposits up to $5,000 "
"The attack launched by North Vietnamese troops on January 30, 1968, is called the Tet Offensive because","January 30 is Tet, the Vietnamese New Year "
Which of the following describes the most popular form of stage entertainment during the late 1800s?,Vaudeville 
Which of the following describes General William T. Sherman's strategy of total war against the Confederacy?,Destroying everything that would allow the Confederacy to keep fighting 
The power of the courts to declare an act of Congress unconstitutional was established in the landmark Supreme Court case,Marbury v. Madison 
The Americans with Disabilities Act of 1990 includes all the following EXCEPT:,guarantee of scholarship opportunities for peo ple with learning disabilities
Madame C. J. Walker became a millionaire in the early 1900s by marketing,a hair-conditioning treatment for African American women 
The Pilgrims were called Separatists because they had broken with,the Anglican Church 
The discovery of the New World resulted from the desire of many Europeans to,find an all-water route to the East.
Which event was the most important cause of the Nullification Crisis?,The passage of the 1828 Tariff of Abominations
Why did Stephen Douglas support the idea of Popular Sovereignty when designing the Kansas-Nebraska Act of 1854?,It seemed a fair way to resolve a difficult controversy.
Which of the following developments is NOT associated with the Gilded Age?,"African Americans' migration to industrial cities led to ""white flight."""
The publication of The Jungle contributed to rapid passage of the,Pure Food and Drug Act.
A philosophical basis of Franklin D. Roosevelt's New Deal was the,"combination of relief, recovery, and reform."
"In response to the Japanese invasion of Manchuria in 1931, the United States",issued a document refusing to recognize Japanese actions as legitimate.
"During the years of Lyndon Johnson's presidency, all of the following were enacted EXCEPT",the Alliance for Progress.
For which of the following ideas in the 1970s was Gloria Steinem most noted?,Women should have equal rights with men.
An example of the change in U.S. policy toward Vietnam since the end of the Vietnam War was best demonstrated by,visits and trade talks conducted by Bill Clinton with Vietnamese leaders.
The New England colonists seemed to thrive in the early years of colonization as compared to the Southern colonists. The longer life spans and the overall growth of the population in New England have been attributed to the,strong religious beliefs and the family units with which they traveled to the New World.
The Northwest Ordinance of 1787 was significant because it,prohibited the extension of slavery into the Northwest Territory.
"In the 1829 Appeal to the Colored Citizens of the World, David Walker called for","the immediate abolition of slavery and, if necessary, for slaves to kill their masters."
Which of the following is an important reason the South lost the Civil War?,"Slaves ran away, so there were fewer and fewer hands to do the work on the home front."
One reason Woodrow Wilson was able to win the presidency in 1912 was that,there was a major split in the Republican Party.
Which of the following best describes the differences that existed between the American Federation of Labor (AFL) and the Congress of Industrial Organizations (CIO) in the 1930s?,"The AFL was more cautious in its approach to conflicts with management, while the CIO was willing to use more militant tactics, such as the sit-down strike."
"In the ""Letter from Birmingham Jail,"" Martin Luther King Jr. discussed the ""strangely irrational notion that there is something in the flow of time that inevitably cures all ills. We must come to see that human progress never rolls on the wheels of inevitability."" Which of the following represents the main idea of the above excerpt?",We must act now.
The women's movement that emerged in the 1970s was called the second wave of feminism because it,built on the women's movement of the 19th century.
"Ronald Reagan was called the ""Teflon president"" because he",was never held responsible for the failures of his administration.
Rhode Island and the Massachusetts Bay Colony differed in that Rhode Island,practiced a policy of separation of church and state.
The First and Second Great Awakenings were similar in that both,made use of revivals to attempt to convert the sinful.
The implied powers clause of the U.S. Constitution was used to justify the,establishment of the Bank of the United States in 1791.
"The 13th, 14th, and 15th Amendments are similar in that all three",expanded the rights of African Americans.
"Wilson's idea of a ""peace without victory"" failed to become a reality in the Treaty of Versailles because",England and France wanted Germany to pay for starting the war.
The use of the atomic bomb by the United States in 1945 was significant in that it,hastened the end of World War II.
"Which of the following is a central argument of the 1958 book, The Affluent Society, by John Kenneth Galbraith?",American society was ignoring social goods in the pursuit of private material gain.
All of the following Cold War ideas involved Europe EXCEPT,the domino theory.
The election of Barack Obama as president was significant for all of these reasons EXCEPT that,he was the youngest president ever elected.
"As a result of the French and Indian War, the American colonists developed a",greater sense of self-confidence.
The beginnings of a uniquely American culture in the 1700s were seen in,the works of artists and poets like John Trumbull and Phillis Wheatley.
The constitutionality of the Bank of the United States was upheld in the Supreme Court decision in the case of,McCulloch v. Maryland.
An unintended consequence of the implementation of the 1862 Homestead Act was that,much of the land that was intended for homesteading ended up in the hands of large agricultural firms.
Joseph Pulitzer and William Randolph Hearst were similar in that both were,"publishers who owned newspapers, which sensationalized accounts of events."
"There were protests against the ""Palmer Raids"" of the late 1910s and early 1920s on the grounds that they",violated protections against unwarranted search and seizure.
Which of the following was the reason the Supreme Court decided that prayers could not be required in public schools?,Prayer in public schools violated the 1st Amendment.
The main purpose of the Free Speech Movement of 1964 was to,allow college students to support civil rights and political causes.
The high gasoline prices that occurred during the administration of Jimmy Carter caused,inflation because prices were rising and the value of the dollar was falling.
"The fact that Spain, rather than its rival, Portugal, was the dominant power in the Americas in the 15th and 16th centuries was largely the result of the","Treaty of Tordesillas, signed in 1494."
The creation of the Electoral College and the indirect election of senators demonstrates that the framers of the Constitution were concerned with the,excesses of democracy.
The Northwest Ordinance and the Missouri Compromise of 1820 were similar in that both documents,restricted slavery in areas yet to be admitted as states.
"""The owner fed us regular on good food just like you would a good horse if you had one.""-An escaped slave (explaining why he ran away) This quotation reflects the ex-slave's belief that",he should be treated as more than a piece of property.
Which of the following quotes comes from Abraham Lincoln's First Inaugural Address of March 1861?,You can have no conflict without being yourselves the aggressors.
"Most of the prominent labor battles of the late 19th century, such as the Railroad Strike of 1877 and the Pullman Strike of 1894, occurred in the aftermath of",wage cuts.
"After Spain's defeat in the Spanish-American War in 1898, the Philippines",fought against the United States to gain independence but became a U.S. colony.
Booker T. Washington and W. E. B. DuBois differed in their approaches to addressing discrimination against African Americans. Which statement below best represents Washington's position?,"The best way for African Americans to improve their position in society is to gain vocational training to obtain jobs in agriculture, crafts, and manufacturing."
"President Franklin D. Roosevelt's New Deal programs, which were designed to end the Great Depression,",had a limited effect on ending the Depression.
The Supreme Court's decision in the case of Roe v. Wade was based on,the right to privacy.
The adoption of the Barbados Slave Codes by South Carolina in 1696 resulted in,"the development of chattel slavery in the colonies, which centered on race."
Which of the following was one of the main legal objections that the colonists made to Parliament in regard to the Stamp Act?,It was a direct tax on the colonists.
President Washington's actions in the Whiskey Rebellion in 1794 demonstrated the power of the central government to,enforce the laws of the land.
"""Pompey, how do I look?"" ""Mighty massa, mighty."" ""What do you mean mighty, Pompey?"" ""Why massa you look noble."" ""What do you mean by 'noble'?"" ""Why you look just like one lion."" ""Now Pompey, where have you ever seen a lion?"" ""I saw one down in yonder field the other day."" ""Pompey, you foolish fellow, that was a jackass."" ""Was it massa? Well, you look just like him."" Who would be most likely to have related this dialogue to whom?",A slave mother to her son
President Andrew Johnson's Reconstruction plan called for the former Confederate states to,"endorse the 13th Amendment, which abolished slavery."
"During the Gilded Age, the U.S. economy","grew at a rapid pace, but the gap between the wealthy and poor widened."
"""Blue laws,"" supported by the Republican Party in many states during the Gilded Age,",made illegal certain activities that were seen by some as immoral.
Which of the following is NOT a reason for the growth of the Communist Party in the United States in the 1930s?,The Communist Party's espionage work on behalf of the Soviet Union created an aura of dedication and audacity.
The most important impetus behind the emergence of the modern Civil Rights Movement was,the experience of African Americans in World War II.
"In his farewell address, President Dwight D. Eisenhower",warned the nation of the power of the military-industrial complex.
"The French and Indian War, which ended in 1763, greatly affected the American colonists because it",removed the French threat against the colonists.
Tensions between England and the United States grew between 1790 and 1812 for all of the following reasons EXCEPT the,XYZ Affair.
The most important result of the development of interchangeable parts in the early 19th century was that it allowed,manufacturers to make their assembly lines more efficient.
The Compromise of 1850 included all of the following EXCEPT,postponing a decision on the question of slavery in the California territory.
An important result of the impeachment crisis of 1868 was that,power shifted in the government from President Andrew Johnson to Congress.
"To remedy problems American farmers faced in the last quarter of the 19th century, the Populist Party advocated a policy of",increasing the amount of currency in circulation.
The reasons for the United States's entry into World War I included the goal of,protecting freedom of the seas.
"After World War II, NATO was formed primarily to",stop the spread of Communism in Europe.
"The 1954, Vietnam peace negotiations in Geneva provided for all of the following EXCEPT",a U.S. role in the future of Vietnam.
"In the ""smoking gun"" tape, Richard Nixon discussed the possibility of asking the Central Intelligence Agency to stop the Federal Bureau of Investigation from investigating Watergate matters. In the language of the Articles of Impeachment against Nixon, this charge became",obstruction of justice.
"According to John Adams, ""The Revolution was effected before the war commenced."" By this he meant","the colonists in America had developed a unique character, independent of Great Britain, before the actual revolution took place."
"The ""Era of Good Feeling"" can best be characterized as years of",economic growth within the United States.
"The accusation of a ""corrupt bargain"" in the election of 1824 was significant because",it led to the overwhelming election of Andrew Jackson in 1828.
"""I stood alone on that wild prairie. Looking westward I saw my husband driving slowly over the plain[.] [T]urning my face once more to the east, my dear sister's footsteps were fast widening the distance between us. For the time I knew not which way to go, nor whom to follow. But in a few moments I rallied my forces … and soon overtook the slowly moving men who were bearing my husband and child over the prairie."" Which of the following statements is NOT true of the above excerpt from the diary of a woman beginning her journey to the West?",It shows how irrationally indecisive some people were.
"The effect of Jim Crow laws, passed by Southern states after the Reconstruction period, was",racial segregation in public facilities.
Why did the Ghost Dance movement thrive among Native Americans in the 1880s?,Many Native Americans believed that it would protect them in conflicts with whites.
Senator Henry Teller agreed to vote for a declaration of war against Spain in 1898 only on the condition that,Cuba would be granted its independence if the United States defeated Spain.
Henry Ford's financial success can be attributed to all of the following EXCEPT,retaining skilled European craftsmen and mechanics at his factories to ensure quality.
All of the following increased participation in the political process in the 20th century EXCEPT the,"14th Amendment, granting civil rights to freedmen and women."
